idx,title,description,url
11,'HBM' 날개 단 SK하이닉스…삼성전자 뛰어넘는 역대급 실적 | JTBC 뉴스,"[앵커]SK하이닉스가 올해 3분기, 7조원대 영업이익을 기록하며 사상 최대 실적을 냈습니다. 고부가가치 메모리라 불리는 고대역폭메모리, HBM이 불티나게 팔린 영향인데 삼성전자 반도체 실적까지 뛰어넘은 걸로 보…",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220365
12,"여전히 비싼 배추…정부 ""11월 중순엔 3천원대로 내려갈 것"" | JTBC 뉴스",[앵커]한 포기에 2만 원까지 치솟았던 배추 가격이 최근 들어 조금 떨어지고는 있지만 여전히 평년 대비 2배 가까이 비쌉니다. 정부가 오늘(23일) 수급 안정 대책을 내놓으며 김장 속 재료는 조금 싸다고 했는데 김…,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220169
13,내년 추석 1년 남았는데…황금연휴 항공권 '예약 전쟁' | JTBC 뉴스,"[앵커]내년 추석, 아직 먼 얘기 같지만 벌써 1년 뒤를 준비하는 사람들이 많다고 합니다. 잘만 하면 최대 열흘까지 쉴 수 있는 '황금연휴'라서, 긴 여행을 계획하는 건데 벌써 매진된 항공노선도 적지 않습니다.정…",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220180
14,역대급 여름 폭염 탓에…제철에 '귀한 몸' 된 가을 전어 | JTBC 뉴스,"[앵커]전어가 제철인 계절 가을이지만, 전엇값은 두세 배가 넘게 뛰었습니다. 폭염 때문에 조업량이 크게 줄었기 때문인데 꽃게나 갈치도 비슷한 상황이어서, 생선 인플레이션이 느껴질 정도입니다.이상화 기자입니…",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12219888
15,바다 뜨거워지자 귀해진 전어…현실화한 '피시플레이션' | JTBC 뉴스,[앵커]이상 기온이 이어지면서 '가을 전어'는 제철인데도 가격이 두세 배나 뛰었습니다. 한여름 폭염이 바닷물 온도를 서서히 높여놔 조업량이 크게 줄어든 탓입니다. 꽃게나 갈치도 비슷한 상황이어서 가을 수산물…,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12219830
16,"정부, '자본잠식' 티메프 재무 상태도 안 보고…80억 예산 책정 | JTBC 뉴스","[앵커]티몬과 위메프가 미정산 사태가 나기 직전까지, 정부 지원 사업을 한다며 입점 업체들에게 매출을 늘리라고 한 사실이 확인됐습니다.  이 말을 믿은 판매자들은 판매를 늘렸다가 피해만 더 커졌습니다. 정부…",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12219698
17,"""정부 믿고 팔았다 피해""…정부, 재무 상태 안 보고 티몬 지원 | JTBC 뉴스",[앵커]티몬과 위메프가 미정산 사태 직전에 정부 지원 사업을 한다며 마지막까지 입점 업체들에게 매출을 늘리라고 한 사실이 취재 결과 확인됐습니다. 실제로 80억원의 지원 예산을 책정했던 정부는 재무 상태는…,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12219658
18,"15억 이상 아파트 거래, 최근 5년 중 최고…10건 중 8건은 서울 | JTBC 뉴스",부동산 가격 상승 등의 영향으로 서울을 중심으로 해 전국의 고가 아파트 거래 비중이 최근 5년 중 가장 높게 나타났습니다.국토교통부 등에 따르면 올해 1월부터 8월까지 전국의 아파트 매매 건수는 30만3천890가…,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12219637
19,"서민 동아줄인데…오락가락 '디딤돌 대출'에 ""불안"" | JTBC 뉴스",[앵커]정부가 무주택 서민들의 내 집 마련을 돕는 '디딤돌 대출' 한도를 줄이기로 하면서 갑자기 대출을 못 받게 된 실수요자들은 혼란스러웠습니다. 반발이 커지자 규제 시행을 일단 미루기로 했습니다.이상화 기…,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12219597
20,뉴욕증시 다우·S&P500 사상 최고치…6주 연속 상승세 | JTBC 뉴스,어제(18일) 미국 뉴욕증시가 3분기 실적 호조에 힘입어 강세를 이어가면서 다우존스 지수와 S&P 500 지수가 각각 사상 최고치를 경신했습니다.뉴욕증시 주요 지수들은 주간 기준 6주 연속 오르며 올해 최장기간 상…,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12219583
